,movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
109,Gone Girl,(2014),R,tt2267998,149 min,"
Drama, Mystery, Thriller            ",79        ,8.1,"864,080",$167.77M
110,Casino Royale,(2006),PG-13,tt0381061,144 min,"
Action, Adventure, Thriller            ",80        ,8.0,"583,691",$167.45M
111,Knives Out,(2019),PG-13,tt8946378,130 min,"
Comedy, Crime, Drama            ",82        ,7.9,"463,611",$165.36M
112,Catch Me If You Can,(2002),PG-13,tt0264464,141 min,"
Biography, Crime, Drama            ",75        ,8.1,"838,146",$164.62M
113,The Pursuit of Happyness,(2006),PG-13,tt0454921,117 min,"
Biography, Drama            ",64        ,8.0,"450,765",$163.57M
114,The Sound of Music,(1965),G,tt0059742,172 min,"
Biography, Drama, Family            ",63        ,8.0,"207,723",$163.21M
115,Django Unchained,(2012),R,tt1853728,165 min,"
Drama, Western            ",81        ,8.4,"1,364,478",$162.81M
116,Straight Outta Compton,(2015),R,tt1398426,147 min,"
Biography, Drama, History            ",72        ,7.8,"179,785",$161.20M
117,The Sting,(1973),PG,tt0070735,129 min,"
Comedy, Crime, Drama            ",83        ,8.3,"242,352",$159.60M
118,1917,(2019),R,tt8579674,119 min,"
Drama, Thriller, War            ",78        ,8.3,"434,617",$159.23M
119,Who Framed Roger Rabbit,(1988),PG,tt0096438,104 min,"
Animation, Adventure, Comedy            ",83        ,7.7,"182,480",$156.45M
120,Mad Max: Fury Road,(2015),R,tt1392190,120 min,"
Action, Adventure, Sci-Fi            ",90        ,8.1,"886,078",$154.06M
121,La La Land,(2016),PG-13,tt3783958,128 min,"
Comedy, Drama, Music            ",94        ,8.0,"509,044",$151.10M
122,As Good as It Gets,(1997),PG-13,tt0119822,139 min,"
Comedy, Drama, Romance            ",67        ,7.7,"276,625",$148.48M
123,Gran Torino,(2008),R,tt1205489,116 min,"
Drama            ",72        ,8.1,"722,544",$148.10M
124,X: First Class,(2011),PG-13,tt1270798,131 min,"
Action, Adventure, Sci-Fi            ",65        ,7.7,"647,133",$146.41M
125,Taken,(I) (2008),PG-13,tt0936501,90 min,"
Action, Thriller            ",51        ,7.8,"565,869",$145.00M
126,Once Upon a Time... In Hollywood,(2019),R,tt7131622,161 min,"
Comedy, Drama            ",83        ,7.6,"558,292",$142.50M
127,The Jungle Book,(1967),G,tt0061852,78 min,"
Animation, Adventure, Family            ",65        ,7.6,"166,957",$141.84M
128,A Few Good Men,(1992),R,tt0104257,138 min,"
Drama, Thriller            ",62        ,7.7,"236,310",$141.34M
129,Slumdog Millionaire,(2008),R,tt1010048,120 min,"
Drama, Romance            ",84        ,8.0,"800,749",$141.32M
130,The King's Speech,(2010),R,tt1504320,118 min,"
Biography, Drama, History            ",88        ,8.0,"641,448",$138.80M
131,Platoon,(1986),R,tt0091763,120 min,"
Drama, War            ",92        ,8.1,"382,482",$138.53M
132,Good Will Hunting,(1997),R,tt0119217,126 min,"
Drama, Romance            ",70        ,8.3,"865,441",$138.43M
133,The Green Mile,(1999),R,tt0120689,189 min,"
Crime, Drama, Fantasy            ",61        ,8.6,"1,153,309",$136.80M
134,Argo,(2012),R,tt1024648,120 min,"
Biography, Drama, Thriller            ",86        ,7.7,"574,178",$136.03M
135,The Godfather,(1972),R,tt0068646,175 min,"
Crime, Drama            ",100        ,9.2,"1,628,373",$134.97M
136,Wonder,(I) (2017),PG,tt2543472,113 min,"
Drama, Family            ",66        ,8.0,"143,371",$132.42M
137,The Departed,(2006),R,tt0407887,151 min,"
Crime, Drama, Thriller            ",85        ,8.5,"1,194,986",$132.38M
138,Silver Linings Playbook,(2012),R,tt1045658,122 min,"
Comedy, Drama, Romance            ",81        ,7.7,"663,746",$132.09M
139,Close Encounters of the Third Kind,(1977),PG,tt0075860,138 min,"
Drama, Sci-Fi            ",90        ,7.6,"185,570",$132.09M
140,Minority Report,(2002),PG-13,tt0181689,145 min,"
Action, Crime, Mystery            ",80        ,7.6,"509,774",$132.07M
141,The Silence of the Lambs,(1991),R,tt0102926,118 min,"
Crime, Drama, Thriller            ",85        ,8.6,"1,276,668",$130.74M
142,American Gangster,(2007),R,tt0765429,157 min,"
Biography, Crime, Drama            ",76        ,7.8,"393,795",$130.16M
143,American Beauty,(1999),R,tt0169547,122 min,"
Drama            ",84        ,8.3,"1,073,105",$130.10M
144,Kingsman: The Secret Service,(2014),R,tt2802144,129 min,"
Action, Adventure, Comedy            ",60        ,7.7,"592,071",$128.26M
145,"Crouching Tiger, Hidden Dragon",(2000),PG-13,tt0190332,120 min,"
Action, Adventure, Fantasy            ",94        ,7.8,"253,875",$128.08M
146,Shutter Island,(2010),R,tt1130884,138 min,"
Mystery, Thriller            ",63        ,8.2,"1,136,596",$128.01M
147,The Curious Case of Benjamin Button,(2008),PG-13,tt0421715,166 min,"
Drama, Fantasy, Romance            ",70        ,7.8,"591,468",$127.51M
148,The Truman Show,(1998),PG,tt0120382,103 min,"
Comedy, Drama            ",90        ,8.1,"944,513",$125.62M
149,Life of Pi,(2012),PG,tt0454876,127 min,"
Adventure, Drama, Fantasy            ",79        ,7.9,"582,482",$124.99M
150,The Fault in Our Stars,(2014),PG-13,tt2582846,126 min,"
Drama, Romance            ",69        ,7.7,"345,414",$124.87M
151,The Bourne Identity,(2002),PG-13,tt0258463,119 min,"
Action, Mystery, Thriller            ",68        ,7.9,"510,160",$121.66M
152,Mulan,(1998),G,tt0120762,88 min,"
Animation, Adventure, Family            ",71        ,7.6,"257,887",$120.62M
153,Inglourious Basterds,(2009),R,tt0361748,153 min,"
Adventure, Drama, War            ",69        ,8.3,"1,274,250",$120.54M
154,Walk the Line,(2005),PG-13,tt0358273,136 min,"
Biography, Drama, Music            ",72        ,7.8,"234,879",$119.52M
155,Blazing Saddles,(1974),R,tt0071230,93 min,"
Comedy, Western            ",73        ,7.7,"126,476",$119.50M
156,On Golden Pond,(1981),PG,tt0082846,109 min,"
Drama            ",68        ,7.6,"27,750",$119.29M
157,Back To The Future II,(1989),PG,tt0096874,108 min,"
Adventure, Comedy, Sci-Fi            ",57        ,7.8,"483,385",$118.50M
158,Ford v Ferrari,(2019),PG-13,tt1950186,152 min,"
Action, Biography, Drama            ",81        ,8.1,"295,983",$117.62M
159,Rocky,(1976),PG,tt0075148,120 min,"
Drama, Sport            ",70        ,8.1,"520,513",$117.24M
160,The Wolf of Wall Street,(2013),R,tt0993846,180 min,"
Biography, Crime, Drama            ",75        ,8.2,"1,196,714",$116.90M
161,Remember the Titans,(2000),PG,tt0210945,113 min,"
Biography, Drama, Sport            ",48        ,7.8,"198,809",$115.65M
162,District 9,(2009),R,tt1136608,112 min,"
Action, Sci-Fi, Thriller            ",81        ,7.9,"639,406",$115.65M
163,One Flew Over the Cuckoo's Nest,(1975),R,tt0073486,133 min,"
Drama            ",83        ,8.7,"921,481",$112.00M
164,Doctor Zhivago,(1965),PG-13,tt0059113,197 min,"
Drama, Romance, War            ",69        ,8.0,"70,142",$111.72M
165,The Little Mermaid,(1989),G,tt0097757,83 min,"
Animation, Family, Fantasy            ",88        ,7.6,"238,537",$111.54M
166,The Last Samurai,(2003),R,tt0325710,154 min,"
Action, Drama            ",55        ,7.7,"401,185",$111.11M
167,Creed,(II) (2015),PG-13,tt3076658,133 min,"
Drama, Sport            ",82        ,7.6,"248,465",$109.77M
168,Black Hawk Down,(2001),R,tt0265086,144 min,"
Drama, History, War            ",74        ,7.7,"365,186",$108.64M
169,Little Women,(2019),PG,tt3281548,135 min,"
Drama, Romance            ",91        ,7.8,"145,776",$108.10M
170,Pulp Fiction,(1994),R,tt0110912,154 min,"
Crime, Drama            ",94        ,8.9,"1,834,079",$107.93M
171,Baby Driver,(2017),R,tt3890160,113 min,"
Action, Crime, Drama            ",86        ,7.6,"442,137",$107.83M
172,Watchmen,(2009),R,tt0409459,162 min,"
Action, Drama, Mystery            ",56        ,7.6,"502,170",$107.51M
173,Captain Phillips,(2013),PG-13,tt1535109,134 min,"
Adventure, Biography, Crime            ",82        ,7.8,"422,693",$107.10M
174,Black Swan,(2010),R,tt0947798,108 min,"
Drama, Thriller            ",79        ,8.0,"701,801",$106.95M
175,Kramer vs. Kramer,(1979),PG,tt0079417,105 min,"
Drama            ",77        ,7.8,"133,886",$106.26M
176,The Graduate,(1967),PG,tt0061722,106 min,"
Comedy, Drama, Romance            ",83        ,8.0,"254,430",$104.95M
177,Road to Perdition,(2002),R,tt0257044,117 min,"
Crime, Drama, Thriller            ",72        ,7.7,"247,644",$104.45M
178,The Girl with the Dragon Tattoo,(2011),R,tt1568346,158 min,"
Crime, Drama, Mystery            ",71        ,7.8,"424,947",$102.52M
179,Butch Cassidy and the Sundance Kid,(1969),PG,tt0064115,110 min,"
Biography, Crime, Drama            ",66        ,8.0,"202,315",$102.31M
180,Mary Poppins,(1964),G,tt0058331,139 min,"
Comedy, Family, Fantasy            ",88        ,7.8,"158,578",$102.27M
181,Unforgiven,(1992),R,tt0105695,130 min,"
Drama, Western            ",85        ,8.2,"377,255",$101.16M
182,Arrival,(II) (2016),PG-13,tt2543164,116 min,"
Drama, Sci-Fi            ",81        ,7.9,"597,137",$100.55M
183,Million Dollar Baby,(2004),PG-13,tt0405159,132 min,"
Drama, Sport            ",86        ,8.1,"638,134",$100.49M
184,Edge of Tomorrow,(2014),PG-13,tt1631867,113 min,"
Action, Adventure, Sci-Fi            ",71        ,7.9,"602,074",$100.21M
185,Se7en,(1995),R,tt0114369,127 min,"
Crime, Drama, Mystery            ",65        ,8.6,"1,452,269",$100.13M
186,Die Hard with a Vengeance,(1995),R,tt0112864,128 min,"
Action, Adventure, Thriller            ",58        ,7.6,"365,077",$100.01M
187,The Color Purple,(1985),PG-13,tt0088939,154 min,"
Drama            ",78        ,7.8,"78,645",$98.47M
188,The Social Network,(2010),PG-13,tt1285016,120 min,"
Biography, Drama            ",95        ,7.7,"627,889",$96.96M
189,Schindler's List,(1993),R,tt0108052,195 min,"
Biography, Drama, History            ",94        ,8.9,"1,218,144",$96.90M
190,The Others,(2001),PG-13,tt0230600,104 min,"
Horror, Mystery, Thriller            ",74        ,7.6,"338,702",$96.52M
