movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
Andhadhun,2018,Not Rated,8108198,139,"Crime, Drama, Music",,8.3,72628,1.37
The Little Prince,2015,PG,1754656,108,"Animation, Adventure, Drama",70.0,7.7,56956,1.34
The Past,2013,PG-13,2404461,130,"Drama, Mystery",85.0,7.8,45110,1.33
Three Colors: Blue,1993,R,108394,94,"Drama, Music, Mystery",85.0,7.9,90435,1.32
Pink,2016,Not Rated,5571734,136,"Drama, Thriller",,8.1,39377,1.24
Metropolis,1927,Not Rated,17136,153,"Drama, Sci-Fi",98.0,8.3,160671,1.24
Monty Python and the Holy Grail,1975,PG,71853,91,"Adventure, Comedy, Fantasy",91.0,8.2,502250,1.23
Taare Zameen Par,2007,PG,986264,165,"Drama, Family",,8.4,169972,1.22
Swades,2004,Not Rated,367110,189,Drama,,8.2,83198,1.22
Nine Queens,2000,R,247586,114,"Crime, Drama, Thriller",80.0,7.9,49856,1.22
"4 Months, 3 Weeks and 2 Days",2007,Not Rated,1032846,113,Drama,97.0,7.9,56784,1.19
Kai Po Che,2013,Not Rated,2213054,120,"Drama, Sport",40.0,7.7,32741,1.12
Chak De! India,2007,Not Rated,871510,153,"Drama, Family, Sport",68.0,8.2,74382,1.11
Tae Guk Gi: The Brotherhood of War,2004,R,386064,140,"Action, Drama, War",64.0,8.1,37885,1.11
My Neighbor Totoro,1988,G,96283,86,"Animation, Family, Fantasy",86.0,8.2,293222,1.11
Leviathan,2014,R,2802154,140,"Crime, Drama",92.0,7.6,49601,1.09
The Machinist,2004,R,361862,101,"Drama, Thriller",61.0,7.7,359641,1.08
Special 26,2013,Not Rated,2377938,144,"Crime, Drama, Thriller",,8.0,51192,1.08
No Man's Land,2001,R,283509,98,"Comedy, Drama, War",84.0,7.9,44779,1.06
Joyeux Noel,2005,PG-13,424205,116,"Drama, History, Music",70.0,7.7,28046,1.05
Dead Man,1995,R,112817,121,"Adventure, Drama, Fantasy",62.0,7.6,90712,1.04
Kahaani,2012,Not Rated,1821480,122,"Mystery, Thriller",,8.1,57947,1.04
The General,1926,Passed,17925,67,"Action, Adventure, Comedy",,8.1,81525,1.03
Casablanca,1942,PG,34583,102,"Drama, Romance, War",100.0,8.5,524034,1.02
Short Term 12,2013,R,2370248,96,Drama,82.0,8.0,82089,1.01
In a Better World,2010,R,1340107,118,"Drama, Romance",65.0,7.6,38550,1.01
Cowboy Bebop: The Movie,2001,--,275277,115,"Animation, Action, Crime",61.0,7.9,43033,1.00
Rockstar,2011,Not Rated,1839596,159,"Drama, Music, Musical",,7.7,39626,0.99
Sherlock Jr.,1924,Passed,15324,45,"Action, Comedy, Romance",,8.2,42333,0.98
The Long Goodbye,1973,R,70334,112,"Comedy, Crime, Drama",87.0,7.6,26465,0.96
Children of Heaven,1997,PG,118849,89,"Drama, Family, Sport",77.0,8.3,65782,0.93
OMG: Oh My God!,2012,Not Rated,2283748,125,"Comedy, Drama, Fantasy",,8.1,51905,0.92
Haider,2014,Not Rated,3390572,160,"Action, Crime, Drama",,8.1,50538,0.90
