genre_ids,popularity,release_date,title,year,pg_rating,imdb_id,runtime,genre,imdb_rating,votes,gross_us,month
"['Drama', 'Mystery', 'Romance']",14.637,1994-05-27,Three Colors: Red,1994,R,111495,99,"Drama, Mystery, Romance",8.1,91380,4.04,5
"['Thriller', 'Mystery']",14.595,1949-08-31,The Third Man,1949,Approved,41959,93,"Film-Noir, Mystery, Thriller",8.1,159282,0.45,8
"['Music', 'Drama', 'History']",15.288,1984-09-06,Amadeus,1984,R,86879,160,"Biography, Drama, History",8.3,370295,51.97,9
"['Drama', 'Horror', 'Thriller']",9.909,1962-10-31,What Ever Happened to Baby Jane?,1962,Passed,56687,134,"Drama, Horror, Thriller",8.1,50256,4.05,10
"['Family', 'Animation', 'Fantasy']",16.276,2014-09-06,Song of the Sea,2014,PG,1865505,93,"Animation, Adventure, Drama",8.1,52056,0.86,9
"['Crime', 'Drama', 'Comedy']",82.85,2013-12-25,The Wolf of Wall Street,2013,R,993846,180,"Biography, Crime, Drama",8.2,1196714,116.9,12
"['Adventure', 'Fantasy']",127.979,2004-05-31,Harry Potter and the Prisoner of Azkaban,2004,PG,304141,142,"Adventure, Family, Fantasy",7.9,554899,249.36,5
"['Crime', 'Drama']",18.977,1995-11-22,Casino,1995,R,112641,178,"Crime, Drama",8.2,468468,42.44,11
"['Mystery', 'Thriller']",13.36,1959-07-08,North by Northwest,1959,Approved,53125,136,"Adventure, Mystery, Thriller",8.3,300245,13.28,7
"['Crime', 'Drama', 'Mystery']",13.282,2009-08-13,The Secret in Their Eyes,2009,R,1305806,129,"Drama, Mystery, Romance",8.2,194013,6.39,8
['Drama'],15.507,2008-12-09,Gran Torino,2008,R,1205489,116,Drama,8.1,722544,148.1,12
"['Horror', 'Mystery', 'Science Fiction']",33.304,1982-06-25,The Thing,1982,R,84787,109,"Horror, Mystery, Sci-Fi",8.1,372672,13.78,6
"['Horror', 'Science Fiction', 'Mystery', 'Thriller']",28.189,2011-10-12,The Thing,1982,R,84787,109,"Horror, Mystery, Sci-Fi",8.1,372672,13.78,10
"['Comedy', 'Drama']",8.745,1973-12-13,Amarcord,1973,R,71129,123,"Comedy, Drama, Family",7.9,40022,0.29,12
