,popularity,id,video,vote_count,vote_average,title,release_date,original_language,original_title,genre_ids,backdrop_path,adult,overview,poster_path,Unnamed: 0,movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us,month
212,56.955,331482,False,3032,8.0,Little Women,2019-12-25,en,Little Women,"['Drama', 'Romance']",/lqxxwTRk0l7CubY6JkJdhnwJEkn.jpg,False,Four sisters come of age in America in the aftermath of the Civil War.,/yn5ihODtZ7ofn8pDYfxCmxh8AXI.jpg,173,Little Women,2019,PG,3281548,135,"Drama, Romance",91.0,7.8,130459,108.1,12
213,15.902,9587,False,771,7.3,Little Women,1994-12-21,en,Little Women,"['Drama', 'Romance']",/pRhXnfD8oRBmmn8zZAO2B1Pe3UD.jpg,False,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.",/1ZzH1XMcKAe5NdrKL5MfcqZHHsZ.jpg,173,Little Women,2019,PG,3281548,135,"Drama, Romance",91.0,7.8,130459,108.1,12
214,13.094,3112,False,918,8.0,The Night of the Hunter,1955-08-26,en,The Night of the Hunter,"['Crime', 'Drama', 'Thriller']",/4hYxesnrRHiFLo1rctaKtzBiMvW.jpg,False,"In the Deep South, a serial-killing preacher hunts two young children who know the whereabouts of a stash of money.",/rBka0nFWiHxabHRLr0KfIA8Yiaq.jpg,747,The Night of the Hunter,1955,Not Rated,48424,92,"Crime, Drama, Film-Noir",99.0,8.0,80895,0.65,8
215,11.856,3777,False,447,8.0,Throne of Blood,1957-01-15,ja,蜘蛛巣城,"['Drama', 'History']",/aliPMgGiHu8hnnNS5thAjExr3j1.jpg,False,"Returning to their lord's castle, samurai warriors Washizu and Miki are waylaid by a spirit who predicts their futures. When the first part of the spirit's prophecy comes true, Washizu's scheming wife, Asaji, presses him to speed up the rest of the spirit's prophecy by murdering his lord and usurping his place. Director Akira Kurosawa's resetting of William Shakespeare's ""Macbeth"" in feudal Japan is one of his most acclaimed films.",/iDmEAMZd3eYxfcK9EXVOddtEb7e.jpg,953,Throne of Blood,1957,Not Rated,50613,110,"Drama, History",,8.1,45772,,1
216,30.774,24,False,12421,8.0,Kill Bill: Vol. 1,2003-10-10,en,Kill Bill: Vol. 1,"['Action', 'Crime']",/lVy5Zqcty2NfemqKYbVJfdg44rK.jpg,False,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,242,Kill Bill: Vol. 1,2003,R,266697,111,"Action, Crime, Thriller",69.0,8.1,986532,70.1,10
217,8.638,60243,False,1050,8.0,A Separation,2011-03-15,fa,جدایی نادر از سیمین,['Drama'],/6DEl5KfpKkS6ZEiy4s9s7EukpAB.jpg,False,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,/wQVvASmpm8jGhJBQU20OkoMcNzi.jpg,549,A Separation,2011,PG-13,1832382,123,"Drama, Thriller",95.0,8.3,216352,7.1,3
218,14.535,223,False,967,8.0,Rebecca,1940-03-23,en,Rebecca,"['Drama', 'Mystery', 'Thriller']",/jKgLVAhoq4fXBs1C9Gjvap93fxd.jpg,False,"Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter. She must also deal with the jealous, obsessed Mrs. Danvers, the housekeeper, who will not accept her as the mistress of the house.",/3Gla0nxHboX3nxQzaU4SoqOtTjh.jpg,606,Rebecca,1940,Approved,32976,130,"Drama, Mystery, Romance",86.0,8.1,121733,4.36,3
219,226.831,505379,False,344,6.4,Rebecca,2020-10-16,en,Rebecca,"['Romance', 'Drama', 'Mystery', 'Thriller']",/AuL2hsPrdGOungMIxTuXGXgmxKZ.jpg,False,"After a whirlwind romance with a wealthy widower, a naïve bride moves to his family estate but can't escape the haunting shadow of his late wife.",/bSKVKcCXdKxkbgf0LL8lBTPG02e.jpg,606,Rebecca,1940,Approved,32976,130,"Drama, Mystery, Romance",86.0,8.1,121733,4.36,10
220,18.067,152532,False,6198,8.0,Dallas Buyers Club,2013-11-17,en,Dallas Buyers Club,"['Drama', 'History']",/l44aUpuHMyp0NctwUdTh2ztVL8X.jpg,False,"Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.",/7Fdh7gUq3plvQqxRbNYhWvDABXA.jpg,401,Dallas Buyers Club,2013,R,790636,117,"Biography, Drama",80.0,8.0,434278,27.3,11
221,44.262,242828,False,1000,7.9,When Marnie Was There,2014-07-19,ja,思い出のマーニー,"['Animation', 'Drama']",/86l1gqKjhPn6Ypd8XSSIGx7ZikB.jpg,False,"Upon being sent to live with relatives in the countryside due to an illness, an emotionally distant adolescent girl becomes obsessed with an abandoned mansion and infatuated with a girl who lives there - a girl who may or may not be real.",/vug1dvDI1tSa60Z8qjCuUE7ntkO.jpg,737,When Marnie Was There,2014,PG,3398268,103,"Animation, Drama, Family",72.0,7.7,31539,0.77,7
222,20.061,76203,False,8368,8.0,12 Years a Slave,2013-10-18,en,12 Years a Slave,"['Drama', 'History']",/4Bb1kMIfrT2tYRZ9M6Jhqy6gkeF.jpg,False,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",/xdANQijuNrJaw1HA61rDccME4Tm.jpg,272,12 Years a Slave,2013,R,2024544,134,"Biography, Drama, History",96.0,8.1,630686,56.67,10
223,14.76,21334,False,317,8.0,Children of Heaven,1997-08-01,fa,بچه‌های آسمان,"['Comedy', 'Drama', 'Family']",,False,"Zohre's shoes are gone; her older brother Ali lost them. They are poor, there are no shoes for Zohre until they come up with an idea: they will share one pair of shoes, Ali's. School awaits...",/jWqh1CJWAEcxckMRrf6ARhIEh0R.jpg,728,Children of Heaven,1997,PG,118849,89,"Drama, Family, Sport",77.0,8.3,63640,0.93,8
224,12.255,405,False,579,8.0,La Strada,1954-09-23,it,La strada,['Drama'],/5Pl47mB0Jnrg4oHoO0sVdJ6WMRL.jpg,False,"When Gelsomina, a naïve young woman, is purchased from her impoverished mother by brutish circus strongman Zampanò to be his wife and partner, she loyally endures her husband's coldness and abuse as they travel the Italian countryside performing together. Soon Zampanò must deal with his jealousy and conflicted feelings about Gelsomina when she finds a kindred spirit in Il Matto, the carefree circus fool, and contemplates leaving Zampanò.",/zykmPmJCwFdrrbmbsRcirYxXn7Q.jpg,961,La Strada,1954,Not Rated,47528,108,Drama,,8.0,57530,,9
